"","Name","Address.x","origname","Agency.x","Address.y","City","State","Zip","Site ID","Site Name","Agency21","Agency.y","distance"
"119","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10744","Lodging Cabin #11, Clubhouse & Interp Occup R2900101980, 10197, 10212","Department of Natural Resources","DNR",0.238014442256224
"120","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","11407","Lodging House - 6 Plex (1-6) & Garage","Department of Natural Resources","DNR",0.238014442256224
"121","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10742","Lodging House & Cabin #1 R2900101960, 10199","Department of Natural Resources","DNR",0.238014442256224
"122","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10703","Mary Gibbs Center & Pump House R2900107840, 10817","Department of Natural Resources","DNR",0.238014442256224
"123","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10743","Nicollet Court Lodging House & Kiosk R2900101950, 10683","Department of Natural Resources","DNR",0.238014442256224
"124","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","11382","Pump House & 6 Bear Paw Cabins R2900104390, 10174-10179","Department of Natural Resources","DNR",0.238014442256224
"125","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10722","Pump House-Lift Station #1 (Ozawindib) & Shed","Department of Natural Resources","DNR",0.238014442256224
"126","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10712","Sanitation & Pine Ridge Oak Loop Campsites R2900101810","Department of Natural Resources","DNR",0.238014442256224
"127","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10716","Sanitation (#2 Center restroom) & Pine & Spruce campsites R2900107160","Department of Natural Resources","DNR",0.238014442256224
"128","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10726","Sanitation (Bear Paw Restroom) & N Bear Paw campsites R2900101700","Department of Natural Resources","DNR",0.238014442256224
"129","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10705","Sanitation, Pump house (Pine Ridge), Campsites (Maple, Spruce) R2900101830, 10180","Department of Natural Resources","DNR",0.238014442256224
"130","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10709","Shop & Pump House R2900101600, 10442","Department of Natural Resources","DNR",0.238014442256224
"131","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","15137","WWTP - Itasca State Park","Department of Natural Resources","DNR",0.238014442256224
"132","Roseau Truck Station","1190 Center Street West Roseau, MN 56751","R2: Roseau Truck Station - 1190 Center Street West Roseau, MN 56751","DOT","1190 Center Street West, ROSEAU, MN 56751","ROSEAU","MN","56751","11836","SITE, D2B, TRUCK STATION, ROSEAU","DOT","DOT",0.104732868757259
"133","Thief River Falls Truck Station","248 125th Ave NE Thief River Falls, MN 56510","R2: Thief River Falls Truck Station - 248 125th Ave NE Thief River Falls, MN 56510","DOT","246 125th Ave NE, Thief River Falls, MN 56701","Thief River Falls","MN","56701","10835","Cold Storage R2900108430","Department of Natural Resources","DNR",0.116738816738817
"134","Walker Truck Station","8005 Sautbine Road NW Walker, MN 56484","R2: Walker Truck Station - 8005 Sautbine Road NW Walker, MN 56484","DOT","07316 State 371 NW, Walker, MN 56484","Walker","MN","56484","10817","Office & Cold Storage","Department of Natural Resources","DNR",0.24772579597141
"135","Warren Truck Station","417 South Main Street Warren, MN 56762","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","DOT","171 South William Drive, Montevideo, MN 56265","Montevideo","MN","56265","12259","Montevideo Parking Compound","Military Affairs","DMA",0.25906432748538
"136","Warren Truck Station","417 South Main Street Warren, MN 56762","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","DOT","433 South Main Street, WARREN, MN 56762","WARREN","MN","56762","11839","SITE, D2B, TRUCK STATION, WARREN","DOT","DOT",0.162037641664127
"137","Warren Truck Station","417 South Main Street Warren, MN 56762","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","DOT","401 South 8th Street, Breckenridge, MN 56520","Breckenridge","MN","56520","11903","SITE, D4A, TRUCK STATION, BRECKENRIDGE","DOT","DOT",0.24845826687932
"138","Warren Truck Station","417 South Main Street Warren, MN 56762","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","DOT","715 North 11th Street, Moorhead, MN 56560","Moorhead","MN","56560","17164","Moorhead - North 11th St","Department of Human Services","DHS",0.252934164679993
"139","Warren Truck Station","417 South Main Street Warren, MN 56762","R2: Warren Truck Station - 417 South Main Street Warren, MN 56762","DOT","118 North Main Street, Le Sueur, MN 56058","Le Sueur","MN","56058","16893","W.W. Mayo House","Minnesota Historical Society","HIST",0.239726734835406
"140","Aitkin Truck Station","1158 Air Park Drive Aitkin, MN 56431","R3A: Aitkin Truck Station - 1158 Air Park Drive Aitkin, MN 56431","DOT","1158 Air Park Drive, Aitkin, MN 56431","Aitkin","MN","56431","11846","SITE, D3A, TRUCK STATION, AITKIN","DOT","DOT",0.046046046046046
"141","Baxter District Headquarters","1991 Industrial Park Road Crow Wing, MN 56401","R3A: Baxter District Headquarters - 1991 Industrial Park Road Crow Wing, MN 56401","DOT","1991 Industrial Park Road S, Baxter, MN 56401","Baxter","MN","56401","11843","SITE, D3A, HEADQUARTERS, BRAINERD/BAXTER","DOT","DOT",0.112475633528265
"142","Garrison Truck Station","27365 MN Highway 18 Garrison, MN 56450","R3A: Garrison Truck Station - 27365 MN Highway 18 Garrison, MN 56450","DOT","1618 MN Highway 23 North, Sandstone, MN 55072","Sandstone","MN","55072","11783","SITE, D1A, TRUCK STATION, SANDSTONE","DOT","DOT",0.245752373765956
"143","Garrison Truck Station","27365 MN Highway 18 Garrison, MN 56450","R3A: Garrison Truck Station - 27365 MN Highway 18 Garrison, MN 56450","DOT","5163 Highway 61, Silver Bay, MN 55614","Silver Bay","MN","55614","11784","SITE, D1A, TRUCK STATION, SILVER BAY","DOT","DOT",0.254482552728167
"144","Garrison Truck Station","27365 MN Highway 18 Garrison, MN 56450","R3A: Garrison Truck Station - 27365 MN Highway 18 Garrison, MN 56450","DOT","27365 MN Hwy 18, Garrison, MN 56450","Garrison","MN","56450","11847","SITE, D3A, TRUCK STATION, GARRISON","DOT","DOT",0.108337019018134
"145","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","13728","00000 Master Bill Balance","Military Affairs","DMA",0.240604890604891
"146","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","13356","01010 Museum Building","Military Affairs","DMA",0.240604890604891
"147","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","14604","01040 Museum Storage","Military Affairs","DMA",0.240604890604891
"148","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","15921","01076 Engineer's Bldg","Military Affairs","DMA",0.240604890604891
"149","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","12963","01086 Museum","Military Affairs","DMA",0.240604890604891
"150","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","12824","02001 FMO Office","Military Affairs","DMA",0.240604890604891
"151","Little Falls Truck Station","15038 Pine Avenue Little Falls, MN 56345","R3A: Little Falls Truck Station - 15038 Pine Avenue Little Falls, MN 56345","DOT","15000 HWY 115, Little Falls, MN 56345","Little Falls","MN","56345","12549","02002 School House","Military Affairs","DMA",0.240604890604891
